ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
00-1,30/12/99 05:12:57,https://twitter.com/arthur_vee/status/1544421836364169218,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy npa communist,@arthur_vee,The King,"I think, therefore I know. If you are able to organise your thoughts and language, you are likely to be able to change the way you think and behave. Loyalist.",Anonymous,02/12,2767,4255,"London, England","Cory Aquino: 
- Duly elected President= Tsismis. 
- Dictator Revolutionary President through a power grab= Fact.

Ninoy:
- Hero= Tsismis. 
- Organised the CPP-NPA-NDF; a traitor of the highest order= Fact.","Cory Aquino:
- Duly elected president= gossip.
- Dictator Revolutionary President through a power grab= fact.

Ninoy:
- hero= gossip.
- organised the CPP-NPA-NDF; a Traitor of the Highest Order= Fact.",Text,06/07/22 04:43,,Rational,259,,94,6,,,https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/,,,
00-2,14/03/23 05:19:21,https://twitter.com/ItsJamMagno/status/1561255554915323904,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy npa communist,@ItsJamMagno,Jam Magno,"Ibahin niyo ako, palaban to.
Queen of Facts. Empress of Satire. 
Prophetess of the Night.
Kakampangets' greatest Nightmare. 
#Uniteam #WinningTeam",Identified,08/15,0,76100,"Butuan City, Philippines","Ninoy Aquino is a TRAITOR.

He joined forces with NPA to incite rebellion all over the country. 

He joined forces with Malaysia in supporting MNLF, a terrorist group back then, destabilizing Mindanao to stop our claim with Sabah.

He was then killed by his own Family.","Ninoy Aquino is a TRAITOR.

He joined forces with NPA to incite rebellion all over the country. 

He joined forces with Malaysia in supporting MNLF, a terrorist group back then, destabilizing Mindanao to stop our claim with Sabah.

He was then killed by his own Family.",Text,21/08/22 15:35,,Rational,1231,,271,21,,,https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/,,,
00-3,14/03/23 05:24:10,https://twitter.com/Brad_Kardinal/status/1561072797522472960,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy npa communist,@Brad_Kardinal,PBBM-VPSARA For The Continuity 👊👊❤️💚🇵🇭,I'm so proud of the #DuterteLegacy. I love the landslide victory of #BBMSARA2022. I ❤️💚 the Philippines🇵🇭.,Anonymous,09/21,1787,2067,,"Ninoy is a traitor, an idiot and a destabilizer!
Ninoy sold Sabah to Malaysia!
Ninoy is a communist, just like Joma Sison!
Ninoy is the father of Noynoy – a former Nganga President.
Ninoy is the husband of Cory who stole the presidency of PFEM.

#NinoyNotAHero 
#ninoyisnotahero
{BENIGNO ""Ninoy"" AQUINO BETRAYED THE PHILIPPINES, HE IS THE ROOT CAUSE OF MARTIAL LAW
HE HAD NEVER BEEN A HERO
HE SOLD SABAH TO MALAYSIA
HE WAS SUSPECTED AS MASTERMIND IN PLAZA MIRANDA QUIAPO BOMBING ON AUGUST 21,1969 KILLING 9 AND WOUNDING 95 etc}","Ninoy is a traitor, an idiot and a destabilizer!
Ninoy sold Sabah to Malaysia!
Ninoy is a communist, just like Joma Sison!
Ninoy is the father of Noynoy – a former Nganga President.
Ninoy is the husband of Cory who stole the presidency of PFEM.

#NinoyNotAHero 
#ninoyisnotahero
{BENIGNO ""Ninoy"" AQUINO BETRAYED THE PHILIPPINES, HE IS THE ROOT CAUSE OF MARTIAL LAW
HE HAD NEVER BEEN A HERO
HE SOLD SABAH TO MALAYSIA
HE WAS SUSPECTED AS MASTERMIND IN PLAZA MIRANDA QUIAPO BOMBING ON AUGUST 21,1969 KILLING 9 AND WOUNDING 95 etc}","Text, Image",21/08/22 03:28,,Rational,188,,78,15,,,https://www.onenews.ph/articles/false-jay-sonza-s-claim-that-ninoy-aquino-as-mastermind-of-plaza-miranda-bombing-is-historical-fact,,,
00-4,14/03/23 05:31:30,https://twitter.com/WinwinEklabu/status/1561478837073915904,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy npa communist,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6462,7082,"Metro Manila, Philippines","Ninoy Aquino day should be abolished because it is an insult to many Filipinos. Remember we have seen many videos of him threatening to bomb the Philippines and he is the reason why the terrorist NPA was formed. Do we call that a heroism? That's b#llsh1t.
{ALISIN NA! Ninoy Aquino Day August 21,1983 TRAITOR fakeHERO GC4SM,INC.}","Ninoy Aquino day should be abolished because it is an insult to many Filipinos. Remember we have seen many videos of him threatening to bomb the Philippines and he is the reason why the terrorist NPA was formed. Do we call that a heroism? That's b#llsh1t.
{ALISIN NA! Ninoy Aquino Day August 21,1983 TRAITOR fakeHERO GC4SM,INC.}","Text, Image",22/08/22 06:22,,Rational,29,,10,,,,https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/,,,
00-5,14/03/23 05:34:42,https://twitter.com/cierloX6/status/1596774279395577856,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy npa communist,@cierloX6,Cierlo,"natsugi acct ko,
makaleninggaw si pipito,
pestengtsekers yan",Anonymous,02/22,542,532,,"ninoy aquino is a convicted criminal
he's a well known supporter of 
hukbalahap & kumander dante in tarlac
reason when they founded CPP w/ joma 
they converted those bandits as private army
turned into NPA","ninoy aquino is a convicted criminal
he's a well known supporter of 
hukbalahap & kumander dante in tarlac
reason when they founded CPP w/ joma 
they converted those bandits as private army
turned into NPA",Text,27/11/22 15:53,,Rational,55,,17,1,,,,,,
00-6,,https://twitter.com/LelangmoVlogger/status/1476436546513354752,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy communist until:2022-01-01 since:2020-01-01,@LelangmoVlogger,Winnie Corpuz,,Identified,11/21,430,257,,Yan Si NiNoy siya Ang gumawa lahat Ng ito..isa siyang traydor isa siyang communist...huwag kayo maniniwala Kay Raissa Robles..,That's Ninoy he did it all ... he's a traitor he's a communist ... don't believe Raissa Robles ..,"Text, Image, Reply",30/12/21 14:14,,Emotional,0,0,0,0,,,"The founder of the CPP-NPA is Jose Maria Sison, while the founder of the MNLF is Nur Misuari. There is no proof that Aquino helped organize either organization.","Blank bio
Blank location",,
00-7,30/12/99 21:26:13,https://twitter.com/iskonglasalista/status/1212438037017137152,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-01,@iskonglasalista,Benedict Exconde,Agricultural Economist. University Lecturer. Communicator. Commentator. Dog parent to Jingle.,Identified,04/09,2568,6097,Singapore,"Irony: The Communists protecting and advancing the interests of the oligarchs.

Wait. Isn't that what the Communists have been doing since Joma Sison and Ninoy Aquino organized the CPP-NPA-NDF?","Irony: The Communists protecting and advancing the interests of the oligarchs.

Wait. Isn't that what the Communists have been doing since Joma Sison and Ninoy Aquino organized the CPP-NPA-NDF?","Text, Reply",02/01/2020 02:18,,Rational,5,0,0,0,,,"The founder of the CPP-NPA is Jose Maria Sison, while the founder of the MNLF is Nur Misuari. There is no proof that Aquino helped organize either organization.",,,
00-8,30/12/99 21:31:11,https://twitter.com/mendozadino/status/1218043025324003328,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-02,@mendozadino,Ryan Padua,,Identified,07/10,260,37,,"@senbongrevilla
 WHY WE HAVE CPP/NPA TRAITOR NINOY AQUINO NAME IN THE AIRPORT, CURRENCY & GOVT BLDGS. NASUSUKA PO KAMI TUWING MAKIKITA NAMIN ANG KANYANG NAME. WE R SENDING A WRONG MESSAGE/INFO TO THE GENERATIONS & WORLD. IF UR TRAITOR U WIL BE REWARDED PLS. HELP US REMOV HIS NAME!","@senbagrevilla
 Why we have CPP/NPA traitor Ninoy Aquino name in the airport, currency & govt bldgs. We get nauseous every time we see his name. We r sending a wrong message/info to the generations & world. If ur traitor u wil be rewarded pls. Help us remov his name!",Text,1/17/2020,,Emotional,0,,0,,,,,,,
00-9,30/12/99 21:31:32,https://twitter.com/dTnalakRiderSR/status/1220227487117955073,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-03,@dTnalakRiderSR,KulasSR,Right and Wrong depends on the MAJORITY of the people in the society where you live in of what is Right and Wrong. DEMOCRACY,Anonymous,10/16,1519,3275,Maharlika Republic of MIndanao,"Meron akong hinalang me nangyaring ganyan. Kasi dati kanya2x ang CPP at NPA, pinagkaisa ni Ninoy iyan, naging figure head si Joma kasi mautak, at prof sa UP. Si Nur naman prof din sa UP kaya malamang he was convinced by those two. Mas madali kasi magpuslit ng arms sa Sulu.","I have a suspicion that I did that. Since he used to be the CPP and the NPA, Ninoy was united, Joma became a figure head because he was so mean, and prof in UP. Nur is also prof in UP so he probably was convinced by those two. It's easier to smuggle arms to Sulu.",Reply,"Jan 23, 2020",,Emotional,6,,1,0,,,,,,
00-10,30/12/99 21:31:45,https://twitter.com/SLaKaTor/status/1215898464925544450,,"Monasterial, Michael Angelo",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-01-31 since:2020-01-04,@SLaKaTor,skalator,salamat sa pagdalaw,Anonymous,01/13,481,252,,"Pwede ng burahin ang panloloko ng mga hinayupak na komunista. Idagdag na din natin...

Si Ninoy any isang lider ng NPA.

30+ yrs tayong ninanakawan ng liberal

Bawat piso na ninakaw ay buhay na hindi natulungan. MASS GENOCIDE.

Hinayaan ang paglaganap ng droga. 

Konti pa yan.","It is possible to erase the fraud of the poor communists. Let's add that ...

Ninoy is an NPA leader.

30+ yrs we are robbed by the liberal

Every peso stolen is life that is not helped. Mass Genocide.

Lets the proliferation of drugs.

That's not it.",Reply,"Jan 11, 2020",,Rational,0,,0,0,,,,,,
